"play ID","game ID","game name",date,location,length,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 win","player 5 username","player 5 name","player 5 score","player 5 new","player 5 win","player 6 username","player 6 name","player 6 score","player 6 new","player 6 win","player 7 name","player 7 win","player 8 username","player 8 name","player 8 new"
86320547,245476,CuBirds,2024-06-29,H.,,,,Marcha,,,,,,Excali8ur,Rianne,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86320724,368058,"The Wolves",2024-06-28,D.,,,,"Anonymous player",,,,,,,"Anonymous player",,,,,,,Bart,,,58,,1,,Margo,,,27,1,,,,,,,,,,,,,,,,
86498657,360121,"Mission Control: Critical Orbit",2024-07-04,D.,,,,Bart,,,,1,,,Margo,,,,1,,Excali8ur,Rianne,,,,1,,,Sander,,,,1,,,,,,,,,,,,,,,,
86503650,385529,"The Vale of Eternity",2024-07-04,"Dwalende Dwerg",,,,Bart,,,52,1,,,Margo,,,49,1,,Excali8ur,Rianne,,,62,1,,,Sander,,,74,1,1,,,,,,,,,,,,,,,
86616219,167791,"Terraforming Mars",2024-07-07,H.,,,,Bart,,,39,1,,,Dave,,,43,,,Boelerino,Martijn,,,61,1,1,,Sander,,,49,1,,,,,,,,,,,,,,,,
86632962,40692,"Small World",2024-07-07,H.,,,,Bart,,,69,,,Boelerino,Martijn,,,100,,,Excali8ur,Rianne,,,81,,,Keukenprinses,Sabrina,,,120,,1,,,,,,,,,,,,,,,
86751058,298069,Cubitos,2024-07-11,M.,,,,Marcha,,,,,,Excali8ur,Rianne,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86813415,257193,"Starcadia Quest",2024-07-12,D.,,,,"Anonymous player",,,,,,,"Anonymous player",,,,,,,Bart,,,10,1,1,,Dave,,,5,1,,,,,,,,,,,,,,,,
86813463,381356,"Diced Veggies",2024-07-12,D.,,,,"Anonymous player",,,,,,,"Anonymous player",,,,,,,Bart,,,60,1,1,,Dave,,,60,1,1,,,,,,,,,,,,,,,
86993095,277700,"Merchants Cove",2024-07-18,D.,,,,Bart,,Innkeeper,190,,,,Margo,,Oracle,131,1,,Excali8ur,Rianne,,Alchemist,118,,,,Sander,,"Dragon Rancher",167,1,,,,,,,,,,,,,,,,
